City_ID,City,Lat,Lng,Date,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
396,Torbat-E Jam,35.244,60.6225,2021-11-26 22:47:44,38.79,clear sky,75,1,3.71,IR
397,Kigali,-1.95,30.0588,2021-11-26 22:46:49,63.88,broken clouds,88,75,2.3,RW
398,Hualmay,-11.0964,-77.6139,2021-11-26 22:47:45,67.53,broken clouds,82,78,12.06,PE
399,Bay City,43.5945,-83.8889,2021-11-26 22:47:45,30.2,overcast clouds,62,90,9.22,US
400,Isabela,6.7085,121.9711,2021-11-26 22:47:45,77.05,light rain,88,100,6.15,PH
401,Antalaha,-14.9003,50.2788,2021-11-26 22:47:46,74.39,light rain,84,81,5.01,MG
402,Palauig,15.435,119.9045,2021-11-26 22:47:46,80.51,broken clouds,75,75,5.44,PH
403,Houston,29.7633,-95.3633,2021-11-26 22:46:19,57.22,clear sky,40,1,8.05,US
404,Almaznyy,48.0448,40.045,2021-11-26 22:47:46,30.34,few clouds,94,16,10.45,RU
405,Alice Springs,-23.7,133.8833,2021-11-26 22:47:47,69.35,clear sky,46,0,12.66,AU
406,La Ronge,55.1001,-105.2842,2021-11-26 22:45:14,39.45,broken clouds,65,75,5.75,CA
407,Villa Carlos Paz,-31.4241,-64.4978,2021-11-26 22:47:47,81.68,clear sky,39,0,5.48,AR
408,San Matias,-16.3667,-58.4,2021-11-26 22:47:47,76.39,overcast clouds,84,92,4.72,BO
409,Mago,53.2514,140.1822,2021-11-26 22:47:48,14.38,overcast clouds,99,98,1.68,RU
410,Kota Belud,6.351,116.4305,2021-11-26 22:47:48,75.06,overcast clouds,83,100,3.65,MY
411,Ponta Delgada,37.7333,-25.6667,2021-11-26 22:47:48,61.52,few clouds,67,20,9.22,PT
412,Plettenberg Bay,-34.0527,23.3716,2021-11-26 22:47:49,63.77,overcast clouds,87,100,12.3,ZA
413,Khatanga,71.9667,102.5,2021-11-26 22:47:49,1.51,overcast clouds,94,100,13.89,RU
414,Acapulco,16.8634,-99.8901,2021-11-26 22:43:30,81.77,few clouds,75,23,5.1,MX
415,Nanortalik,60.1432,-45.2371,2021-11-26 22:47:49,43.16,overcast clouds,96,100,13.0,GL
