City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
192,Bogo,PH,84.9,broken clouds,11.0517,124.0055,Acrige Apartelle 2 pax Twin @ heart of Bogo City
201,Pringsewu,ID,88.63,broken clouds,-5.3582,104.9744,Urban Style by Front One
210,Bubaque,GW,82.98,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
211,Mackay,AU,82.38,scattered clouds,-21.15,149.2,International Lodge Motel
212,Port Blair,IN,84.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
213,Champerico,GT,76.93,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
216,Angoche,MZ,79.25,overcast clouds,-16.2325,39.9086,Guest House HESADA
227,Bireun,ID,83.23,broken clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
229,Kloulklubed,PW,84.7,few clouds,7.0419,134.2556,Storyboard Beach Resort
231,Vung Tau,VN,77.63,light rain,10.346,107.0843,Green hotel
241,Banganapalle,IN,83.32,overcast clouds,15.3167,78.2333,Hotel salamth
246,Bajil,YE,82.35,clear sky,15.0584,43.2851,فندق حضرموت
255,Teknaf,BD,83.03,clear sky,20.8624,92.3058,Forestry Guesthouse
256,Muli,MV,81.68,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
257,Buluang,PH,88.75,broken clouds,13.3068,123.3425,Enon Beach Resort
258,Piacabucu,BR,76.14,broken clouds,-10.4056,-36.4344,Piaçabuçu News
259,Basco,PH,77.05,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
270,Narasannapeta,IN,81.39,overcast clouds,18.4167,84.05,G.lingaraju home
271,Bodden Town,KY,79.84,overcast clouds,19.2833,-81.25,Will T Place
281,Faanui,PF,81.54,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
287,Sorong,ID,84.6,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
294,Along,IN,77.38,clear sky,28.1667,94.7667,Hotel West
296,Amreli,IN,84.94,clear sky,21.6167,71.2333,Sanskar Hostel & PG Center
300,Acarau,BR,79.99,scattered clouds,-2.8856,-40.12,castelo pizzaria
305,Nabire,ID,85.01,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
306,San Juan,AR,78.03,few clouds,-31.5375,-68.5364,Hotel Provincial
310,Touros,BR,79.21,few clouds,-5.1989,-35.4608,INN NEW HORIZON
