City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,Teknaf,BD,20.8624,92.3058,83.03,43,2,6.42,clear sky
256,Muli,MV,2.9167,73.5667,81.68,75,100,14.88,overcast clouds
257,Buluang,PH,13.3068,123.3425,88.75,58,70,4.72,broken clouds
258,Piacabucu,BR,-10.4056,-36.4344,76.14,87,56,10.13,broken clouds
259,Basco,PH,20.4487,121.9702,77.05,87,98,28.83,overcast clouds
260,Goma,CD,-1.6792,29.2228,64.09,86,98,1.95,overcast clouds
261,Vagay,RU,57.9375,69.0217,29.28,90,100,14.14,light snow
262,Bento Goncalves,BR,-29.1714,-51.5192,60.53,99,97,3.0,overcast clouds
263,Awbari,LY,26.5921,12.7805,68.22,32,99,6.87,overcast clouds
264,Split,HR,43.5089,16.4392,51.91,82,75,6.91,broken clouds
265,Kodiak,US,57.79,-152.4072,15.31,62,75,0.0,broken clouds
266,Lukovetskiy,RU,64.2956,41.9211,12.18,99,95,3.31,overcast clouds
267,Killybegs,IE,54.6333,-8.45,41.67,62,89,29.84,overcast clouds
268,Lagoa,PT,39.05,-27.9833,61.72,63,19,14.47,few clouds
269,Naruto,JP,34.1833,134.6167,53.98,47,75,18.41,broken clouds
270,Narasannapeta,IN,18.4167,84.05,81.39,67,99,13.18,overcast clouds
271,Bodden Town,KY,19.2833,-81.25,79.84,58,85,10.49,overcast clouds
272,Sioux Lookout,CA,50.1001,-91.917,21.58,79,90,9.22,overcast clouds
273,Lluta,PE,-16.0147,-72.0142,46.67,56,100,0.81,overcast clouds
274,Matamoros,MX,25.5333,-103.25,54.91,57,100,2.48,overcast clouds
275,Bom Jesus,BR,-9.0744,-44.3586,70.61,95,50,0.31,scattered clouds
276,Vestmannaeyjar,IS,63.4427,-20.2734,31.66,54,98,3.94,overcast clouds
277,Tiznit,MA,29.5833,-9.5,51.44,83,76,8.61,broken clouds
278,Torbay,CA,47.6666,-52.7314,45.37,100,90,8.05,mist
279,Sitka,US,57.0531,-135.33,35.49,80,90,11.5,light rain
280,Saint-Louis,SN,16.3333,-15.0,74.57,39,99,10.6,overcast clouds
281,Faanui,PF,-16.4833,-151.75,81.54,72,14,19.93,few clouds
282,Torbat-E Jam,IR,35.244,60.6225,48.72,49,0,1.1,clear sky
283,Komsomolskiy,UZ,40.4272,71.7189,45.32,70,27,2.3,haze
284,Pevek,RU,69.7008,170.3133,-26.27,97,17,3.53,few clouds
285,Skibbereen,IE,51.55,-9.2667,39.0,60,1,25.37,clear sky
286,Pangody,RU,65.85,74.4859,-8.43,97,67,8.5,broken clouds
287,Sorong,ID,-0.8833,131.25,84.6,69,98,7.61,overcast clouds
288,Santa Maria,BR,-29.6842,-53.8069,63.95,93,34,3.58,scattered clouds
289,Turukhansk,RU,65.8167,87.9833,0.34,95,100,12.59,overcast clouds
290,Novyy Urgal,RU,51.0736,132.5642,12.04,93,93,1.45,overcast clouds
291,Muravlenko,RU,63.7898,74.523,3.56,96,97,11.27,light snow
292,Zhigansk,RU,66.7697,123.3711,-0.35,97,100,5.68,light snow
293,Alta Floresta,BR,-9.8756,-56.0861,71.06,99,99,2.21,overcast clouds
294,Along,IN,28.1667,94.7667,77.38,34,10,1.68,clear sky
295,Flin Flon,CA,54.7682,-101.865,28.04,93,79,8.63,broken clouds
296,Amreli,IN,21.6167,71.2333,84.94,28,1,6.33,clear sky
297,Vardo,NO,70.3705,31.1107,25.3,57,100,5.32,overcast clouds
298,Leningradskiy,RU,69.3833,178.4167,-22.47,93,18,5.64,few clouds
299,Eureka,US,40.8021,-124.1637,47.59,80,99,2.71,overcast clouds
300,Acarau,BR,-2.8856,-40.12,79.99,79,27,13.15,scattered clouds
301,Iqaluit,CA,63.7506,-68.5145,17.33,73,75,10.36,broken clouds
302,Chernyshevskiy,RU,63.0128,112.4714,1.11,92,100,11.9,overcast clouds
303,Betioky,MG,-23.7167,44.3833,72.97,38,0,11.56,clear sky
304,Flinders,AU,-34.5833,150.8552,61.88,82,100,17.25,overcast clouds
305,Nabire,ID,-3.3667,135.4833,85.01,75,87,4.32,overcast clouds
306,San Juan,AR,-31.5375,-68.5364,78.03,35,15,22.79,few clouds
307,Norman Wells,CA,65.282,-126.8329,-5.76,71,20,12.66,few clouds
308,Yuxia,CN,34.0615,108.6291,50.61,45,100,2.89,overcast clouds
309,Noyabrsk,RU,63.1994,75.4507,5.83,95,98,14.23,light snow
310,Touros,BR,-5.1989,-35.4608,79.21,80,13,11.74,few clouds
311,Belaya Gora,RU,68.5333,146.4167,-34.01,99,87,1.23,overcast clouds
312,Albenga,IT,44.0529,8.216,49.96,76,0,6.91,clear sky
313,Sao Filipe,CV,14.8961,-24.4956,77.09,75,8,10.45,clear sky
314,Namtsy,RU,62.7161,129.6658,-2.09,98,100,1.77,overcast clouds
315,Tombouctou,ML,20.0,-3.0,73.4,34,86,6.76,overcast clouds
316,Hambantota,LK,6.1241,81.1185,86.34,79,40,2.3,scattered clouds
317,Presidente Franco,PY,-25.5333,-54.6167,66.72,100,0,0.0,clear sky
318,Banda Aceh,ID,5.5577,95.3222,83.7,71,61,4.21,broken clouds
319,Surt,LY,31.2089,16.5887,64.11,57,95,18.01,overcast clouds
320,Zorgo,BF,12.2489,-0.6158,74.97,23,14,9.46,few clouds
321,Jati,PK,24.3539,68.2671,83.91,33,3,3.69,clear sky
322,Cukai,MY,4.25,103.4167,84.34,81,100,7.61,light rain
323,Kamina,CD,-8.7386,24.9906,67.6,90,97,2.77,overcast clouds
324,Pangnirtung,CA,66.1451,-65.7125,14.7,66,100,5.1,overcast clouds
325,Cutro,IT,39.0353,16.9819,51.17,76,100,8.21,overcast clouds
326,Araouane,ML,18.9048,-3.5265,72.23,31,13,4.9,few clouds
327,Isangel,VU,-19.55,169.2667,78.93,77,36,14.36,scattered clouds
328,Tilichiki,RU,60.4667,166.1,-1.93,98,79,10.07,light snow
329,Praia Da Vitoria,PT,38.7333,-27.0667,61.05,94,75,10.83,broken clouds
330,Shunyi,CN,40.125,116.6453,46.35,61,0,4.47,clear sky
331,Rio Grande,BR,-32.035,-52.0986,68.99,91,93,19.57,overcast clouds
332,Hovd,MN,48.0056,91.6419,22.62,51,94,1.63,overcast clouds
333,Hervey Bay,AU,-25.2986,152.8535,84.31,81,100,13.82,light rain
334,Bac Lieu,VN,9.285,105.7244,79.14,80,100,9.57,overcast clouds
335,Tondano,ID,1.3038,124.9112,73.49,87,94,3.27,light rain
336,Zhuhai,CN,22.2769,113.5678,76.71,53,0,12.66,clear sky
337,Prince Rupert,CA,54.3161,-130.3201,40.69,73,90,8.05,overcast clouds
338,Moron,AR,-34.6534,-58.6198,69.55,74,1,6.6,clear sky
339,Katsuura,JP,35.1333,140.3,55.51,38,33,15.19,scattered clouds
340,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,33,0,10.36,clear sky
341,Trofors,NO,65.5333,13.4063,25.95,98,43,2.73,scattered clouds
342,Ibra,OM,22.6906,58.5334,81.01,31,40,1.79,scattered clouds
343,Fort Smith,US,35.3859,-94.3986,45.09,75,1,0.0,clear sky
344,Vanimo,PG,-2.6741,141.3028,83.88,73,94,6.15,overcast clouds
345,Lavrentiya,RU,65.5833,-171.0,-9.11,93,25,8.12,scattered clouds
